Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
1_8417_8689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978894591331482,0.0,0.0,0.0
2_8666_8712,0.0,0.0,0.0,0.0,0.0,0.0,0.3647352457046509,0.0,0.0,0.0,0.09948788583278656,0.5340500473976135
2_8666_8770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1327698826789856,0.8641168475151062
2_8666_8776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2612256407737732,0.7344490885734558
1_8666_8689,0.0,0.22985832393169403,0.0,0.0,0.0,0.0,0.0,0.0,0.7681464552879333,0.0,0.0,0.0
2_8734_8712,0.0,0.0,0.0,0.0,0.0,0.442052960395813,0.4972406029701233,0.0,0.0,0.0,0.0,0.05573951080441475
2_8734_8770,0.0,0.0,0.0,0.0,0.0,0.5958994030952454,0.0,0.0,0.0,0.0,0.39748677611351013,0.0
2_8734_8776,0.0,0.0,0.0,0.0,0.0,0.5783827900886536,0.0,0.0,0.0,0.0,0.41336631774902344,0.0
1_8734_8689,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602,0.0833333358168602
2_4015_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8054676055908203,0.0,0.14345690608024597,0.0,0.048886798322200775
2_4029_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954394698143005,0.0,0.0
2_4042_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4584904611110687,0.5376811027526855,0.0
2_4052_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09410757571458817,0.0,0.5372434258460999,0.36681678891181946,0.0
2_4060_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4105917811393738,0.5859741568565369,0.0
2_4067_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947916269302368,0.0,0.0
2_4090_4120,0.4474312961101532,0.0,0.0,0.0,0.0,0.0,0.0,0.4100640118122101,0.0,0.14114348590373993,0.0,0.0
2_4098_4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.943093478679657,0.0,0.05534699931740761,0.0,0.0
2_4159_4708,0.0,0.0,0.28206872940063477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7143750786781311
2_4159_4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998609721660614,0.0,0.0
1_4159_4820,0.0,0.0,0.0,0.9960881471633911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
