Conflict,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,cluster,pet_max,pet_min,pet_mean,pet_std,dist_max,dist_std,dist_mean,dist_min,vel_max,vel_mean,vel_min,vel_std
1_7001_7901,0.2488832175731659,0.0,0.0,0.0,0.0,0.0,0.7449132800102234,0.0,0.0,0.0,0.0,0.0,3,9.96432231754959,3.35775109693307,5.7460062055339,2.1317008885748114,7.48749606222847,0.970264614467339,5.6378877426553515,4.45243703589943,1.33562243698217,1.0518144248356844,0.726476748224417,0.20264733573875182
2_7004_7864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9942468404769896,0.0,2,9.85370832433954,8.04960357976599,8.69992558427073,0.5517508303809833,12.882985843137,1.2191634599076202,10.36088074719461,9.13461946352306,1.3613024060773102,1.1947766084737044,0.9324211089592108,0.14833822185779585
2_7004_7872,0.0,0.0,0.6693422794342041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3289371728897095,0.0,1,9.86645258932856,2.01437825469238,5.127811263257777,2.4947296646988186,10.216410358555803,2.345071819331768,5.733411065790751,2.55990113226563,1.3613024060773102,1.1683106518106758,0.979143626563128,0.13816489676301083
1_7004_7896,0.0,0.2393626272678375,0.0,0.0,0.0,0.0,0.0,0.0,0.6639294624328613,0.09390587359666824,0.0,0.0,0,9.879445444162199,7.9565339548572185,8.731763278433432,0.6242549477467665,12.193519641436,0.5570618895895894,11.072619290027607,10.494791979081599,1.3613024060773102,1.2719822077558791,1.08610841648186,0.07642592180355928
1_7004_7901,0.0,0.0,0.0,0.0,0.0,0.5668631196022034,0.0,0.0,0.0,0.4308703243732453,0.0,0.0,1,9.976961763894401,5.45186347440024,7.3064194595768575,1.4276292215137631,12.916568418855801,1.7434136475476993,8.580547442097473,6.68721565254003,1.3613024060773102,1.1832941056209945,0.979143626563128,0.1464849554605357
2_7008_7864,0.0,0.0,0.7911521196365356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20470190048217773,0.0,1,9.67488922720173,4.04494670432443,5.444466024754921,1.665803815466961,8.740407775324151,0.4148010791913188,7.745124523470266,7.29139194509829,1.82345368090844,1.510026958169789,0.9034116639547448,0.3080232862671869
2_7008_7872,0.0,0.0,0.2938132286071777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044662237167358,0.0,2,9.9881949290032,3.8757769546335,6.4058950779343835,1.5548701032040337,14.975736625032301,3.1730669774771814,7.3815674478340005,3.95737086765122,1.82345368090844,1.1456003221628144,0.7766887836514049,0.37287187821435847
1_7008_7896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954394698143004,0.0,0.0,0.0,0,9.49219355132364,4.95648734987407,6.201420118768112,1.3189174507579216,10.351478580770099,0.6745799220239264,8.998923785484365,8.34334609779892,1.82345368090844,1.510026958169789,0.9034116639547448,0.3080232862671869
1_7008_7901,0.0,0.0,0.0,0.0,0.0,0.5297619104385376,0.0,0.0,0.3306418061256409,0.13364386558532715,0.0,0.0,0,9.68440054833811,7.73267201025457,8.475908232236183,0.6517194612853277,8.98911479489355,0.30128062626499524,8.26941561927981,7.99664664615068,1.04981122375178,0.9795464352814188,0.858583001211089,0.061591874990753484
2_7012_7864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9947916269302368,0.0,2,9.625223760121713,6.30828305481969,7.444459788319359,1.069538598735947,16.887182882202403,0.5079445284058008,16.1607996313025,15.1148767237079,2.5649831178787004,2.211699900380733,1.57034029549842,0.3057273391044404
